,active,confirmed,country_region,deaths,last_update,lat,long,recovered,country,iso3,inform_risk,inform_p2p_hazard_and_exposure_dimension,population_density,population_living_in_urban_areas,proportion_of_population_with_basic_handwashing_facilities_on_premises,people_using_at_least_basic_sanitation_services,inform_vulnerability,inform_health_conditions,inform_epidemic_vulnerability,mortality_rate_under_5,prevalence_of_undernourishment,inform_lack_of_coping_capacity,inform_access_to_healthcare,inform_epidemic_lack_of_coping_capacity,physicians_density,current_health_expenditure_per_capita,maternal_mortality_ratio
145,15.0,19.0,Syria,2.0,4/5/2020 18:24,34.802075,38.996815000000005,2.0,Syria,SYR,7.3,3.3,92.07,54.162,70.6,91.22287,7.8,0.5,4.6,17,29.0,5.7,6.3,3.2,12.2,159.72,68
146,16.0,20.0,Tanzania,1.0,4/5/2020 18:24,-6.369028,34.888822,3.0,Tanzania,TZA,5.6,6.6,63.58,33.776,47.95,29.91344,5.9,5.3,6.8,54,30.7,6.2,6.4,2.3,0.4,111.98,398
147,1353.0,2169.0,Thailand,23.0,4/5/2020 18:24,15.870032,100.992541,793.0,Thailand,THA,4.1,3.6,135.9,49.949,90.67,98.75073,3.1,1.3,4.9,9.5,7.8,3.9,4.1,2.5,8.1,635.02,20
148,1.0,1.0,Timor-Leste,0.0,4/5/2020 18:24,-8.874217,125.727539,0.0,Timor-Leste,TLS,4.5,6.0,85.27,30.578,28.18,53.519009999999994,4.2,6.4,4.3,47.59999847,24.9,6.2,6.6,4.9,7.2,121.68,215
149,21.0,44.0,Togo,3.0,4/5/2020 18:24,8.6195,0.8248,20.0,Togo,TGO,4.6,6.9,145.05,41.702,10.47,16.1321,5.2,5.3,5.6,72.90000153,16.1,7.7,6.3,6.0,0.49,99.9,368
150,96.0,104.0,Trinidad and Tobago,7.0,4/5/2020 18:24,10.6918,-61.2225,1.0,Trinidad and Tobago,TTO,2.7,3.2,270.93,53.184,89.44,93.39891,3.0,0.8,5.0,26.10000038,5.5,3.3,2.4,3.2,26.7,2180.52,63
151,547.0,574.0,Tunisia,22.0,4/5/2020 18:24,33.886917,9.537499,5.0,Tunisia,TUN,3.2,4.0,74.44,68.945,78.69,90.92139,1.8,0.3,4.7,13,4.3,4.7,3.8,4.6,12.72,806.34,62
152,25453.0,27069.0,Turkey,574.0,4/5/2020 18:24,38.9637,35.2433,1042.0,Turkey,TUR,5.0,4.2,106.96,75.143,No data,97.29724,4.9,0.1,6.8,11.60000038,2.4,3.2,3.3,2.3,17.61,1089.24,16
153,48.0,48.0,Uganda,0.0,4/5/2020 18:24,1.373333,32.290275,0.0,Uganda,UGA,6.5,7.2,213.06,23.774,21.22,18.47232,6.9,5.9,5.3,49,41.0,7.2,6.5,5.7,0.91,117.11,343
154,1194.0,1251.0,Ukraine,32.0,4/5/2020 18:24,48.3794,31.1656,25.0,Ukraine,UKR,4.7,2.6,77.03,69.352,No data,96.22436,3.9,1.1,3.8,8.800000191,3.5,4.8,4.2,5.1,30.07,534.19,24
155,1644.0,1798.0,United Arab Emirates,10.0,4/5/2020 18:24,23.424076,53.847818000000004,144.0,United Arab Emirates,ARE,1.9,4.4,135.61,86.522,No data,98.586,1.5,0,4.6,9.100000381,2.6,1.9,1.5,1.1,23.94,2546.19,6
156,302.0,400.0,Uruguay,5.0,4/5/2020 18:24,-32.5228,-55.7658,93.0,Uruguay,URY,1.8,2.9,19.71,95.334,No data,96.59619,2.0,0.6,5.1,8.199999809,2.4,2.8,1.2,2.1,50.5,1958.9,15
157,278.0,310.0,Uzbekistan,2.0,4/5/2020 18:24,41.377491,64.585262,30.0,Uzbekistan,UZB,3.1,3.3,77.47,50.478,No data,100.0,1.9,0.6,4.2,22.5,6.3,4.0,3.3,3.0,23.68,416.9,36
158,96.0,155.0,Venezuela,7.0,4/5/2020 18:24,6.4238,-66.5897,52.0,Venezuela,VEN,4.6,3.3,32.73,88.208,No data,93.93502,3.5,1.2,4.9,30.89999962,21.2,4.5,4.8,2.7,No data,940,95
159,35.0,39.0,Zambia,1.0,4/5/2020 18:24,-13.133897,27.849332,3.0,Zambia,ZMB,4.3,6.8,23.34,43.521,13.94,26.37012,5.9,7.4,6.2,60,46.7,6.0,6.1,4.8,0.91,175.18,224
160,8.0,9.0,Zimbabwe,1.0,4/5/2020 18:24,-19.015438,29.154857,0.0,Zimbabwe,ZWE,5.1,4.9,37.32,32.209,36.79,36.2214,5.4,6.1,6.8,50.29999924,51.3,5.9,6.6,4.4,0.76,185.05,443
